# sersic	color	mor
# mor 0=elliptical	1=spiral	-1=irregular
1.151874999999999982e+00 3.180273056030273438e+00 0.000000000000000000e+00
1.541875000000000107e+00 3.252153396606445312e+00 0.000000000000000000e+00
1.005624999999999991e+00 1.740072250366210938e+00 0.000000000000000000e+00
3.686875000000000124e+00 3.131740570068359375e+00 1.000000000000000000e+00
1.249374999999999902e+00 2.944791793823242188e+00 0.000000000000000000e+00
2.614374999999999893e+00 3.141653060913085938e+00 1.000000000000000000e+00
2.321874999999999911e+00 3.200790405273437500e+00 1.000000000000000000e+00
1.980625000000000080e+00 3.311292648315429688e+00 1.000000000000000000e+00
7.618749999999999689e-01 2.985820770263671875e+00 0.000000000000000000e+00
3.979375000000000107e+00 3.402946472167968750e+00 1.000000000000000000e+00
1.249374999999999902e+00 2.869571685791015625e+00 0.000000000000000000e+00
1.151874999999999982e+00 2.651180267333984375e+00 0.000000000000000000e+00
1.054375000000000062e+00 2.886962890625000000e+00 0.000000000000000000e+00
1.444374999999999964e+00 2.782575607299804688e+00 0.000000000000000000e+00
1.785625000000000018e+00 2.606203079223632812e+00 1.000000000000000000e+00
1.639375000000000027e+00 3.135143280029296875e+00 1.000000000000000000e+00
8.593750000000000000e-01 2.788877487182617188e+00 0.000000000000000000e+00
1.541875000000000107e+00 3.429325103759765625e+00 0.000000000000000000e+00
1.883124999999999938e+00 3.177478790283203125e+00 1.000000000000000000e+00
1.395624999999999893e+00 3.214918136596679688e+00 0.000000000000000000e+00
1.785625000000000018e+00 3.090633392333984375e+00 1.000000000000000000e+00
1.395624999999999893e+00 2.739803314208984375e+00 0.000000000000000000e+00
1.736874999999999947e+00 2.714042663574218750e+00 1.000000000000000000e+00
1.298124999999999973e+00 2.799785614013671875e+00 0.000000000000000000e+00
1.249374999999999902e+00 3.022052764892578125e+00 0.000000000000000000e+00
1.054375000000000062e+00 3.028924942016601562e+00 0.000000000000000000e+00
1.151874999999999982e+00 3.185752868652343750e+00 0.000000000000000000e+00
1.200625000000000053e+00 3.105823516845703125e+00 0.000000000000000000e+00
1.639375000000000027e+00 3.186115264892578125e+00 1.000000000000000000e+00
1.346875000000000044e+00 3.092134475708007812e+00 0.000000000000000000e+00
5.783125000000000071e+00 3.111843109130859375e+00 1.000000000000000000e+00
1.200625000000000053e+00 2.775714874267578125e+00 0.000000000000000000e+00
1.200625000000000053e+00 2.764112472534179688e+00 0.000000000000000000e+00
1.736874999999999947e+00 2.994962692260742188e+00 1.000000000000000000e+00
1.444374999999999964e+00 3.232110977172851562e+00 0.000000000000000000e+00
1.054375000000000062e+00 3.538452148437500000e+00 0.000000000000000000e+00
2.126875000000000071e+00 3.153985977172851562e+00 1.000000000000000000e+00
1.931875000000000009e+00 3.285703659057617188e+00 1.000000000000000000e+00
7.131250000000000089e-01 2.672492980957031250e+00 0.000000000000000000e+00
1.834375000000000089e+00 3.031330108642578125e+00 1.000000000000000000e+00
7.131250000000000089e-01 2.474401473999023438e+00 0.000000000000000000e+00
1.639375000000000027e+00 3.011247634887695312e+00 1.000000000000000000e+00
9.568750000000000311e-01 2.731586456298828125e+00 0.000000000000000000e+00
1.541875000000000107e+00 2.806716918945312500e+00 0.000000000000000000e+00
9.081249999999999600e-01 2.427877426147460938e+00 0.000000000000000000e+00
1.590624999999999956e+00 2.817689895629882812e+00 1.000000000000000000e+00
9.568750000000000311e-01 2.535018920898437500e+00 0.000000000000000000e+00
1.249374999999999902e+00 2.761510848999023438e+00 0.000000000000000000e+00
1.395624999999999893e+00 2.585477828979492188e+00 0.000000000000000000e+00
8.593750000000000000e-01 3.061889648437500000e+00 0.000000000000000000e+00
1.151874999999999982e+00 2.733102798461914062e+00 0.000000000000000000e+00
6.319374999999999964e+00 3.176034927368164062e+00 1.000000000000000000e+00
2.126875000000000071e+00 3.049442291259765625e+00 0.000000000000000000e+00
2.614374999999999893e+00 3.173746109008789062e+00 1.000000000000000000e+00
1.590624999999999956e+00 2.821264266967773438e+00 0.000000000000000000e+00
2.078125000000000000e+00 3.142183303833007812e+00 1.000000000000000000e+00
3.150624999999999787e+00 3.304166793823242188e+00 1.000000000000000000e+00
7.618749999999999689e-01 2.816862106323242188e+00 0.000000000000000000e+00
1.493125000000000036e+00 3.461774826049804688e+00 0.000000000000000000e+00
1.298124999999999973e+00 3.410333633422851562e+00 0.000000000000000000e+00
8.106250000000000400e-01 2.364824295043945312e+00 0.000000000000000000e+00
1.493125000000000036e+00 2.989246368408203125e+00 0.000000000000000000e+00
1.249374999999999902e+00 2.939811706542968750e+00 0.000000000000000000e+00
1.298124999999999973e+00 2.330429077148437500e+00 0.000000000000000000e+00
1.005624999999999991e+00 3.495628356933593750e+00 0.000000000000000000e+00
1.103124999999999911e+00 2.359722137451171875e+00 0.000000000000000000e+00
6.156249999999999778e-01 2.066965103149414062e+00 0.000000000000000000e+00
1.005624999999999991e+00 3.328372955322265625e+00 0.000000000000000000e+00
8.593750000000000000e-01 2.148979187011718750e+00 0.000000000000000000e+00
1.639375000000000027e+00 2.732713699340820312e+00 0.000000000000000000e+00
1.103124999999999911e+00 3.032520294189453125e+00 0.000000000000000000e+00
2.175625000000000142e+00 3.107191085815429688e+00 1.000000000000000000e+00
3.784374999999999822e+00 3.125141143798828125e+00 1.000000000000000000e+00
2.175625000000000142e+00 2.732419967651367188e+00 1.000000000000000000e+00
1.444374999999999964e+00 2.639921188354492188e+00 0.000000000000000000e+00
1.395624999999999893e+00 3.329545974731445312e+00 0.000000000000000000e+00
1.883124999999999938e+00 3.019447326660156250e+00 1.000000000000000000e+00
1.249374999999999902e+00 2.798217773437500000e+00 0.000000000000000000e+00
